Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Blue Ribbon Income Fund,RBN-UN,2021,1,6,7.55,Financial Services,Asset Management,95770000.0,N/A,N/A,1.14,0.0642,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,7,7.67,Financial Services,Asset Management,97290000.0,N/A,N/A,1.16,0.0636,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,8,7.65,Financial Services,Asset Management,97040000.0,N/A,N/A,1.16,0.0636,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,11,7.76,Financial Services,Asset Management,98440000.0,N/A,N/A,1.17,0.06269999999999999,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,12,7.74,Financial Services,Asset Management,98180000.0,N/A,N/A,1.17,0.06269999999999999,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,13,7.74,Financial Services,Asset Management,98180000.0,N/A,N/A,1.17,0.061900000000000004,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,14,7.69,Financial Services,Asset Management,97550000.0,N/A,N/A,1.16,0.062,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,15,7.74,Financial Services,Asset Management,98180000.0,N/A,N/A,1.17,0.062,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,18,7.71,Financial Services,Asset Management,97800000.0,N/A,N/A,1.16,0.062,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,19,7.83,Financial Services,Asset Management,99320000.0,N/A,N/A,1.18,0.062,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,20,7.94,Financial Services,Asset Management,100720000.0,N/A,N/A,1.2,0.0623,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,21,7.86,Financial Services,Asset Management,99700000.0,N/A,N/A,1.19,0.0605,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,22,7.81,Financial Services,Asset Management,99070000.0,N/A,N/A,1.18,0.0605,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,25,7.87,Financial Services,Asset Management,99830000.0,N/A,N/A,1.19,0.061500000000000006,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,26,7.82,Financial Services,Asset Management,99200000.0,N/A,N/A,1.18,0.061500000000000006,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,27,7.8,Financial Services,Asset Management,98940000.0,N/A,N/A,1.18,0.061,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,28,7.8,Financial Services,Asset Management,98940000.0,N/A,N/A,1.18,0.061500000000000006,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,1,29,7.79,Financial Services,Asset Management,98820000.0,N/A,N/A,1.18,0.0616,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,1,7.83,Financial Services,Asset Management,99320000.0,N/A,N/A,1.18,0.0616,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,1,7.83,Financial Services,Asset Management,99320000.0,N/A,N/A,1.18,0.0616,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,2,7.85,Financial Services,Asset Management,99580000.0,N/A,N/A,1.19,0.0616,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,3,7.85,Financial Services,Asset Management,99580000.0,N/A,N/A,1.19,0.0613,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,4,7.9,Financial Services,Asset Management,100210000.0,N/A,N/A,1.19,0.0613,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,5,7.83,Financial Services,Asset Management,99320000.0,N/A,N/A,1.18,0.0611,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,8,7.94,Financial Services,Asset Management,100720000.0,N/A,N/A,1.2,0.0613,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,9,7.95,Financial Services,Asset Management,100850000.0,N/A,N/A,1.2,0.0613,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,9,7.95,Financial Services,Asset Management,100850000.0,N/A,N/A,1.2,0.0613,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,10,7.93,Financial Services,Asset Management,100590000.0,N/A,N/A,1.2,0.0605,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,11,8.0,Financial Services,Asset Management,101480000.0,N/A,N/A,1.21,0.0605,N/A,N/A
Blue Ribbon Income Fund,RBN-UN,2021,2,12,8.0,Financial Services,Asset Management,101480000.0,N/A,N/A,1.21,0.0605,N/A,N/A
