Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Rogers Communications Inc.,RCI-B,2021,1,6,61.22,Communication Services,Telecom Services,31030000000.0,19.47,6.79,3.08,0.032799999999999996,0.6349,58.06312935708753
Rogers Communications Inc.,RCI-B,2021,1,7,60.39,Communication Services,Telecom Services,30590000000.0,19.21,6.72,3.04,0.0331,0.6349,56.52734488432873
Rogers Communications Inc.,RCI-B,2021,1,8,60.85,Communication Services,Telecom Services,30830000000.0,19.35,6.72,3.06,0.032799999999999996,0.6349,57.330557707203724
Rogers Communications Inc.,RCI-B,2021,1,11,60.95,Communication Services,Telecom Services,31060000000.0,19.39,6.77,3.07,0.0329,0.6349,57.63123245231871
Rogers Communications Inc.,RCI-B,2021,1,12,60.38,Communication Services,Telecom Services,30710000000.0,19.2,6.77,3.04,0.032799999999999996,0.6349,56.5143299767622
Rogers Communications Inc.,RCI-B,2021,1,13,60.91,Communication Services,Telecom Services,31050000000.0,19.37,6.77,3.06,0.0331,0.6349,57.37314877552997
Rogers Communications Inc.,RCI-B,2021,1,14,60.34,Communication Services,Telecom Services,30760000000.0,19.19,6.77,3.04,0.0331,0.6349,56.46849288549028
Rogers Communications Inc.,RCI-B,2021,1,15,60.61,Communication Services,Telecom Services,30930000000.0,19.28,6.77,3.05,0.032799999999999996,0.6349,56.93648334624323
Rogers Communications Inc.,RCI-B,2021,1,18,60.59,Communication Services,Telecom Services,30760000000.0,19.27,6.74,3.05,0.033,0.6349,56.89593417231365
Rogers Communications Inc.,RCI-B,2021,1,19,60.26,Communication Services,Telecom Services,30590000000.0,19.17,6.74,3.03,0.033,0.6349,56.2295256534366
Rogers Communications Inc.,RCI-B,2021,1,20,60.1,Communication Services,Telecom Services,30510000000.0,19.12,6.7,3.02,0.0332,0.6349,55.88695315524585
Rogers Communications Inc.,RCI-B,2021,1,21,60.71,Communication Services,Telecom Services,30790000000.0,19.31,6.69,3.05,0.0333,0.6349,56.99748378979966
Rogers Communications Inc.,RCI-B,2021,1,22,61.51,Communication Services,Telecom Services,31220000000.0,19.56,6.69,3.09,0.0325,0.6349,58.53791767554479
Rogers Communications Inc.,RCI-B,2021,1,25,62.37,Communication Services,Telecom Services,31660000000.0,19.84,6.64,3.14,0.0325,0.6349,60.33665859564165
Rogers Communications Inc.,RCI-B,2021,1,26,62.34,Communication Services,Telecom Services,31550000000.0,19.83,6.9,3.14,0.0321,0.6349,60.32961922294351
Rogers Communications Inc.,RCI-B,2021,1,27,61.95,Communication Services,Telecom Services,31410000000.0,19.7,6.9,3.12,0.0321,0.6349,59.55236895649646
