Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Roots Corporation,ROOT,2021,1,6,2.45,Consumer Cyclical,Apparel Retail,103390000.0,N/A,-0.67,0.68,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,7,2.53,Consumer Cyclical,Apparel Retail,106760000.0,N/A,-0.67,0.7,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,8,2.47,Consumer Cyclical,Apparel Retail,104230000.0,N/A,-0.69,0.69,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,11,2.38,Consumer Cyclical,Apparel Retail,100430000.0,N/A,-0.69,0.66,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,12,2.43,Consumer Cyclical,Apparel Retail,102540000.0,N/A,-0.69,0.68,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,13,2.43,Consumer Cyclical,Apparel Retail,102540000.0,N/A,-0.69,0.68,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,14,2.44,Consumer Cyclical,Apparel Retail,102960000.0,N/A,-0.69,0.68,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,15,2.4,Consumer Cyclical,Apparel Retail,101280000.0,N/A,-0.69,0.67,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,18,2.38,Consumer Cyclical,Apparel Retail,100430000.0,N/A,-0.69,0.66,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,19,2.36,Consumer Cyclical,Apparel Retail,99590000.0,N/A,-0.69,0.66,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,20,2.35,Consumer Cyclical,Apparel Retail,99170000.0,N/A,-0.69,0.65,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,21,2.38,Consumer Cyclical,Apparel Retail,100430000.0,N/A,-0.69,0.66,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,22,2.26,Consumer Cyclical,Apparel Retail,95370000.0,N/A,-0.69,0.63,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,25,2.11,Consumer Cyclical,Apparel Retail,89040000.0,N/A,-0.69,0.59,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,26,2.14,Consumer Cyclical,Apparel Retail,90300000.0,N/A,-0.59,0.59,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,27,2.15,Consumer Cyclical,Apparel Retail,90730000.0,N/A,-0.59,0.6,N/A,0.0,N/A
Roots Corporation,ROOT,2021,1,28,2.23,Consumer Cyclical,Apparel Retail,94100000.0,N/A,-0.59,0.62,N/A,0.0,N/A
