Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Roxgold Inc.,ROXG,2021,1,6,1.65,Basic Materials,Gold,615600000.0,42.31,2.57,3.43,N/A,0.0,145.1233
Roxgold Inc.,ROXG,2021,1,7,1.61,Basic Materials,Gold,600670000.0,41.28,2.6,3.35,N/A,0.0,138.288
Roxgold Inc.,ROXG,2021,1,8,1.52,Basic Materials,Gold,567100000.0,38.97,2.54,3.16,N/A,0.0,123.1452
Roxgold Inc.,ROXG,2021,1,11,1.53,Basic Materials,Gold,570830000.0,39.23,2.54,3.18,N/A,0.0,124.75139999999999
Roxgold Inc.,ROXG,2021,1,12,1.51,Basic Materials,Gold,563370000.0,38.72,2.54,3.14,N/A,0.0,121.5808
Roxgold Inc.,ROXG,2021,1,13,1.51,Basic Materials,Gold,563370000.0,38.72,2.54,3.14,N/A,0.0,121.5808
Roxgold Inc.,ROXG,2021,1,14,1.49,Basic Materials,Gold,555900000.0,38.21,2.54,3.1,N/A,0.0,118.45100000000001
Roxgold Inc.,ROXG,2021,1,15,1.48,Basic Materials,Gold,552170000.0,37.95,2.54,3.08,N/A,0.0,116.88600000000001
Roxgold Inc.,ROXG,2021,1,18,1.53,Basic Materials,Gold,570830000.0,39.23,2.32,3.18,N/A,0.0,124.75139999999999
Roxgold Inc.,ROXG,2021,1,19,1.49,Basic Materials,Gold,555900000.0,38.21,2.32,3.1,N/A,0.0,118.45100000000001
Roxgold Inc.,ROXG,2021,1,20,1.51,Basic Materials,Gold,563370000.0,38.72,2.34,3.14,N/A,0.0,121.5808
Roxgold Inc.,ROXG,2021,1,21,1.49,Basic Materials,Gold,555900000.0,38.21,2.34,3.1,N/A,0.0,118.45100000000001
Roxgold Inc.,ROXG,2021,1,22,1.48,Basic Materials,Gold,552170000.0,37.95,2.34,3.08,N/A,0.0,116.88600000000001
Roxgold Inc.,ROXG,2021,1,25,1.47,Basic Materials,Gold,548440000.0,37.69,2.34,3.06,N/A,0.0,115.3314
Roxgold Inc.,ROXG,2021,1,26,1.46,Basic Materials,Gold,544710000.0,37.44,2.31,3.04,N/A,0.0,113.8176
Roxgold Inc.,ROXG,2021,1,27,1.39,Basic Materials,Gold,518600000.0,35.64,2.31,2.89,N/A,0.0,102.9996
Roxgold Inc.,ROXG,2021,1,28,1.42,Basic Materials,Gold,529789999.99999994,36.41,2.31,2.95,N/A,0.0,107.4095
Roxgold Inc.,ROXG,2021,1,29,1.39,Basic Materials,Gold,518600000.0,35.64,2.31,2.89,N/A,0.0,102.9996
Roxgold Inc.,ROXG,2021,2,1,1.41,Basic Materials,Gold,526059999.99999994,36.15,2.1,2.93,N/A,0.0,105.9195
Roxgold Inc.,ROXG,2021,2,2,1.47,Basic Materials,Gold,548440000.0,37.69,2.1,3.06,N/A,0.0,115.3314
Roxgold Inc.,ROXG,2021,2,3,1.49,Basic Materials,Gold,555900000.0,38.21,2.1,3.1,N/A,0.0,118.45100000000001
Roxgold Inc.,ROXG,2021,2,4,1.47,Basic Materials,Gold,548440000.0,37.69,2.1,3.06,N/A,0.0,115.3314
