Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sprott Inc.,SII,2021,1,6,38.77,Financial Services,Asset Management,949860000.0,46.94,-1.93,3.43,0.0334,1.0759,155.80046448616216
Sprott Inc.,SII,2021,1,7,38.59,Financial Services,Asset Management,945450000.0,46.72,-1.93,3.41,0.033,1.0759,154.22575024201356
Sprott Inc.,SII,2021,1,8,38.48,Financial Services,Asset Management,942750000.0,46.59,-1.95,3.4,0.0332,1.0759,153.3159117305459
Sprott Inc.,SII,2021,1,11,37.88,Financial Services,Asset Management,928050000.0,45.86,-1.95,3.35,0.0333,1.0759,148.6799574179812
Sprott Inc.,SII,2021,1,12,37.26,Financial Services,Asset Management,912860000.0,45.11,-1.95,3.29,0.0338,1.0759,143.55958599342233
Sprott Inc.,SII,2021,1,13,36.82,Financial Services,Asset Management,902080000.0,44.58,-1.95,3.25,0.0344,1.0759,140.0667053364269
Sprott Inc.,SII,2021,1,14,36.64,Financial Services,Asset Management,897670000.0,44.36,-1.95,3.24,0.0348,1.0759,138.8929261693081
Sprott Inc.,SII,2021,1,15,36.95,Financial Services,Asset Management,905270000.0,44.73,-1.87,3.27,0.0349,1.0759,141.33452507488647
Sprott Inc.,SII,2021,1,18,37.09,Financial Services,Asset Management,908700000.0,44.9,-1.87,3.28,0.0347,1.0759,142.33304339422054
Sprott Inc.,SII,2021,1,19,36.93,Financial Services,Asset Management,904780000.0,44.71,-1.87,3.26,0.0345,1.0759,140.89376510391492
Sprott Inc.,SII,2021,1,20,37.24,Financial Services,Asset Management,912370000.0,45.08,-1.87,3.29,0.0347,1.0759,143.33932540833092
Sprott Inc.,SII,2021,1,21,37.3,Financial Services,Asset Management,913840000.0,45.16,-1.87,3.3,0.0344,1.0759,144.07192575406032
Sprott Inc.,SII,2021,1,22,37.32,Financial Services,Asset Management,914330000.0,45.18,-1.87,3.3,0.034300000000000004,1.0759,144.14966644107125
Sprott Inc.,SII,2021,1,25,37.44,Financial Services,Asset Management,917270000.0,45.33,-1.87,3.31,0.034300000000000004,1.0759,145.06651841825388
Sprott Inc.,SII,2021,1,26,37.46,Financial Services,Asset Management,917760000.0,45.35,-1.87,3.31,0.0342,1.0759,145.14455617868887
Sprott Inc.,SII,2021,1,27,36.97,Financial Services,Asset Management,905760000.0,44.76,-1.87,3.27,0.0342,1.0759,141.52504351189324
Sprott Inc.,SII,2021,1,28,36.95,Financial Services,Asset Management,905270000.0,44.73,-1.87,3.27,0.0346,1.0759,141.37550744248986
Sprott Inc.,SII,2021,1,29,36.31,Financial Services,Asset Management,889590000.0,43.96,-1.87,3.21,0.0353,1.0759,136.30020283975662
Sprott Inc.,SII,2021,2,1,39.2,Financial Services,Asset Management,960390000.0,47.46,-1.89,3.46,0.0353,1.0759,158.61257606490875
Sprott Inc.,SII,2021,2,2,40.92,Financial Services,Asset Management,1000000000.0,49.54,-1.89,3.62,0.0327,1.0759,173.65624092185533
Sprott Inc.,SII,2021,2,3,40.48,Financial Services,Asset Management,991750000.0,49.01,-1.89,3.58,0.0313,1.0759,170.13070881411807
Sprott Inc.,SII,2021,2,4,39.69,Financial Services,Asset Management,972400000.0,48.05,-1.89,3.51,0.0313,1.0759,163.53679821584404
Sprott Inc.,SII,2021,2,5,40.07,Financial Services,Asset Management,981710000.0,48.51,-1.89,3.54,0.0313,1.0759,166.51352661689128
Sprott Inc.,SII,2021,2,8,40.82,Financial Services,Asset Management,1000000000.0,49.42,-1.89,3.61,0.032,1.0759,172.87422480620157
Sprott Inc.,SII,2021,2,9,40.96,Financial Services,Asset Management,1000000000.0,49.59,-1.89,3.62,0.031400000000000004,1.0759,174.05061082024432
Sprott Inc.,SII,2021,2,9,40.96,Financial Services,Asset Management,1000000000.0,49.59,-1.89,3.62,0.031400000000000004,1.0759,174.05061082024432
Sprott Inc.,SII,2021,2,10,40.8,Financial Services,Asset Management,999590000.0,49.39,-1.89,3.61,0.0313,1.0759,172.88655095510518
Sprott Inc.,SII,2021,2,11,40.97,Financial Services,Asset Management,1000000000.0,49.6,-1.89,3.62,0.031400000000000004,1.0759,174.0857087453946
Sprott Inc.,SII,2021,2,12,41.39,Financial Services,Asset Management,1010000000.0,50.11,-1.89,3.66,0.0313,1.0759,177.83632308736546
Sprott Inc.,SII,2021,2,16,41.32,Financial Services,Asset Management,1010000000.0,50.02,-1.89,3.65,0.030899999999999997,1.0759,177.10059171597635
Sprott Inc.,SII,2021,2,17,41.32,Financial Services,Asset Management,1010000000.0,50.02,-1.89,3.65,0.031,1.0759,177.08341416100876
Sprott Inc.,SII,2021,2,18,40.68,Financial Services,Asset Management,996650000.0,49.25,-1.89,3.59,0.031,1.0759,171.49127061105725
Sprott Inc.,SII,2021,2,19,41.14,Financial Services,Asset Management,1010000000.0,49.81,-1.89,3.64,0.0315,1.0759,175.77159476490547
Sprott Inc.,SII,2021,2,22,42.94,Financial Services,Asset Management,1050000000.0,51.99,-1.89,3.79,0.0311,1.0759,191.0989234797789
Sprott Inc.,SII,2021,2,23,42.46,Financial Services,Asset Management,1040000000.0,51.4,-1.89,3.75,0.0298,1.0759,187.1722664595067
Sprott Inc.,SII,2021,2,24,45.5,Financial Services,Asset Management,1110000000.0,55.08,-1.89,4.02,0.0302,1.0759,214.93069306930693
Sprott Inc.,SII,2021,2,25,45.22,Financial Services,Asset Management,1110000000.0,54.75,-1.89,4.0,0.0281,1.0759,213.0142982200175
