Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sierra Metals Inc.,SMT,2021,1,6,4.08,Basic Materials,Other Industrial Metals & Mining,664220000.0,32.64,N/A,3.45,N/A,0.0,112.608
Sierra Metals Inc.,SMT,2021,1,7,4.22,Basic Materials,Other Industrial Metals & Mining,687020000.0,33.76,N/A,3.57,N/A,0.0,120.52319999999999
Sierra Metals Inc.,SMT,2021,1,8,4.2,Basic Materials,Other Industrial Metals & Mining,683760000.0,33.6,N/A,3.55,N/A,0.0,119.28
Sierra Metals Inc.,SMT,2021,1,11,4.87,Basic Materials,Other Industrial Metals & Mining,792840000.0,38.96,N/A,4.12,N/A,0.0,160.51520000000002
Sierra Metals Inc.,SMT,2021,1,12,4.71,Basic Materials,Other Industrial Metals & Mining,766790000.0,37.68,N/A,3.98,N/A,0.0,149.9664
Sierra Metals Inc.,SMT,2021,1,13,4.71,Basic Materials,Other Industrial Metals & Mining,766790000.0,37.68,N/A,3.98,N/A,0.0,149.9664
Sierra Metals Inc.,SMT,2021,1,14,4.65,Basic Materials,Other Industrial Metals & Mining,757020000.0,37.2,N/A,3.93,N/A,0.0,146.19600000000003
Sierra Metals Inc.,SMT,2021,1,15,4.59,Basic Materials,Other Industrial Metals & Mining,747250000.0,36.72,N/A,3.88,N/A,0.0,142.4736
Sierra Metals Inc.,SMT,2021,1,18,4.83,Basic Materials,Other Industrial Metals & Mining,786320000.0,38.64,N/A,4.08,N/A,0.0,157.65120000000002
Sierra Metals Inc.,SMT,2021,1,19,4.63,Basic Materials,Other Industrial Metals & Mining,753760000.0,37.04,N/A,3.91,N/A,0.0,144.8264
Sierra Metals Inc.,SMT,2021,1,20,4.73,Basic Materials,Other Industrial Metals & Mining,770040000.0,37.84,N/A,4.0,N/A,0.0,151.36
Sierra Metals Inc.,SMT,2021,1,21,4.62,Basic Materials,Other Industrial Metals & Mining,752140000.0,36.96,N/A,3.91,N/A,0.0,144.5136
