Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Summit Industrial Income REIT,SMU-UN,2021,1,6,13.38,Real Estate,REIT—Industrial,2240000000.0,10.49,N/A,1.26,0.04019999999999999,0.4082,12.706594885598923
Summit Industrial Income REIT,SMU-UN,2021,1,7,13.26,Real Estate,REIT—Industrial,2220000000.0,10.39,N/A,1.24,0.0404,0.4082,12.383314109957709
Summit Industrial Income REIT,SMU-UN,2021,1,8,13.42,Real Estate,REIT—Industrial,2250000000.0,10.52,N/A,1.26,0.0407,0.4082,12.7368117613145
Summit Industrial Income REIT,SMU-UN,2021,1,11,13.34,Real Estate,REIT—Industrial,2230000000.0,10.45,N/A,1.25,0.04019999999999999,0.4082,12.557681215150932
Summit Industrial Income REIT,SMU-UN,2021,1,12,13.3,Real Estate,REIT—Industrial,2230000000.0,10.42,N/A,1.25,0.0405,0.4082,12.518020182604518
Summit Industrial Income REIT,SMU-UN,2021,1,13,13.24,Real Estate,REIT—Industrial,2220000000.0,10.38,N/A,1.24,0.0406,0.4082,12.369017874303289
Summit Industrial Income REIT,SMU-UN,2021,1,14,13.25,Real Estate,REIT—Industrial,2220000000.0,10.38,N/A,1.24,0.0408,0.4082,12.366641045349732
Summit Industrial Income REIT,SMU-UN,2021,1,15,13.3,Real Estate,REIT—Industrial,2230000000.0,10.42,N/A,1.25,0.0408,0.4082,12.514411990776328
Summit Industrial Income REIT,SMU-UN,2021,1,18,13.35,Real Estate,REIT—Industrial,2240000000.0,10.46,N/A,1.25,0.0406,0.4082,12.564866423217376
Summit Industrial Income REIT,SMU-UN,2021,1,19,13.41,Real Estate,REIT—Industrial,2250000000.0,10.51,N/A,1.26,0.0404,0.4082,12.728373702422145
Summit Industrial Income REIT,SMU-UN,2021,1,20,13.68,Real Estate,REIT—Industrial,2290000000.0,10.72,N/A,1.28,0.0403,0.4082,13.19004133423051
Summit Industrial Income REIT,SMU-UN,2021,1,21,13.65,Real Estate,REIT—Industrial,2290000000.0,10.7,N/A,1.28,0.0395,0.4082,13.175565175565174
Summit Industrial Income REIT,SMU-UN,2021,1,22,13.64,Real Estate,REIT—Industrial,2280000000.0,10.69,N/A,1.28,0.039599999999999996,0.4082,13.161985378991918
Summit Industrial Income REIT,SMU-UN,2021,1,25,13.6,Real Estate,REIT—Industrial,2280000000.0,10.66,N/A,1.28,0.039599999999999996,0.4082,13.125048095421315
Summit Industrial Income REIT,SMU-UN,2021,1,26,13.7,Real Estate,REIT—Industrial,2290000000.0,10.74,N/A,1.29,0.0397,0.4082,13.325574685005291
Summit Industrial Income REIT,SMU-UN,2021,1,27,13.28,Real Estate,REIT—Industrial,2220000000.0,10.41,N/A,1.25,0.0394,0.4082,12.519241870309791
Summit Industrial Income REIT,SMU-UN,2021,1,28,13.49,Real Estate,REIT—Industrial,2260000000.0,10.57,N/A,1.27,0.0407,0.4082,12.89891419237052
Summit Industrial Income REIT,SMU-UN,2021,1,29,13.24,Real Estate,REIT—Industrial,2220000000.0,10.38,N/A,1.24,0.0408,0.4082,12.366641045349732
Summit Industrial Income REIT,SMU-UN,2021,2,1,13.6,Real Estate,REIT—Industrial,2280000000.0,10.66,N/A,1.28,0.0408,0.4082,13.109915449654112
Summit Industrial Income REIT,SMU-UN,2021,2,2,13.91,Real Estate,REIT—Industrial,2330000000.0,10.9,N/A,1.3,0.0397,0.4082,13.62893142252573
Summit Industrial Income REIT,SMU-UN,2021,2,3,13.53,Real Estate,REIT—Industrial,2270000000.0,10.6,N/A,1.27,0.0388,0.4082,12.959183673469388
Summit Industrial Income REIT,SMU-UN,2021,2,4,13.57,Real Estate,REIT—Industrial,2270000000.0,10.63,N/A,1.27,0.0388,0.4082,12.995860608394302
Summit Industrial Income REIT,SMU-UN,2021,2,5,13.58,Real Estate,REIT—Industrial,2270000000.0,10.64,N/A,1.27,0.0398,0.4082,12.9955760723216
Summit Industrial Income REIT,SMU-UN,2021,2,8,13.52,Real Estate,REIT—Industrial,2260000000.0,10.6,N/A,1.27,0.0398,0.4082,12.946720523177532
Summit Industrial Income REIT,SMU-UN,2021,2,9,13.43,Real Estate,REIT—Industrial,2250000000.0,10.53,N/A,1.26,0.039900000000000005,0.4082,12.758726800653909
Summit Industrial Income REIT,SMU-UN,2021,2,9,13.43,Real Estate,REIT—Industrial,2250000000.0,10.53,N/A,1.26,0.039900000000000005,0.4082,12.758726800653909
Summit Industrial Income REIT,SMU-UN,2021,2,10,13.53,Real Estate,REIT—Industrial,2270000000.0,10.6,N/A,1.27,0.04019999999999999,0.4082,12.941741972697558
Summit Industrial Income REIT,SMU-UN,2021,2,11,13.67,Real Estate,REIT—Industrial,2290000000.0,10.71,N/A,1.28,0.039900000000000005,0.4082,13.182806039042216
Summit Industrial Income REIT,SMU-UN,2021,2,12,13.73,Real Estate,REIT—Industrial,2300000000.0,10.76,N/A,1.29,0.0395,0.4082,13.352958152958152
Summit Industrial Income REIT,SMU-UN,2021,2,16,13.84,Real Estate,REIT—Industrial,2320000000.0,10.85,N/A,1.3,0.0393,0.4082,13.571634754161456
Summit Industrial Income REIT,SMU-UN,2021,2,17,14.2,Real Estate,REIT—Industrial,2380000000.0,11.13,N/A,1.33,0.039,0.4082,14.247256977863332
Summit Industrial Income REIT,SMU-UN,2021,2,18,14.18,Real Estate,REIT—Industrial,2370000000.0,11.11,N/A,1.33,0.038,0.4082,14.235356454720616
