Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
SNC-Lavalin Group Inc.,SNC,2021,1,6,21.59,Industrials,Engineering & Construction,3790000000.0,N/A,-21.64,1.11,0.0037,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,7,21.95,Industrials,Engineering & Construction,3850000000.0,N/A,-21.64,1.13,0.0037,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,8,22.04,Industrials,Engineering & Construction,3870000000.0,N/A,-21.85,1.14,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,11,22.25,Industrials,Engineering & Construction,3910000000.0,N/A,-21.85,1.15,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,12,22.69,Industrials,Engineering & Construction,3980000000.0,N/A,-28.23,1.17,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,13,22.26,Industrials,Engineering & Construction,3910000000.0,N/A,-21.85,1.15,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,14,22.85,Industrials,Engineering & Construction,4010000000.0,N/A,-21.85,1.18,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,15,23.44,Industrials,Engineering & Construction,4110000000.0000005,N/A,-21.85,1.21,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,18,24.01,Industrials,Engineering & Construction,4219999999.9999995,N/A,-23.34,1.24,0.0034000000000000002,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,19,23.82,Industrials,Engineering & Construction,4179999999.9999995,N/A,-23.34,1.23,0.0034000000000000002,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,20,23.44,Industrials,Engineering & Construction,4110000000.0000005,N/A,-23.72,1.21,0.0034000000000000002,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,21,23.25,Industrials,Engineering & Construction,4080000000.0,N/A,-23.34,1.2,0.0034000000000000002,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,22,22.96,Industrials,Engineering & Construction,4030000000.0000005,N/A,-23.34,1.19,0.0034000000000000002,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,25,22.67,Industrials,Engineering & Construction,3980000000.0,N/A,-23.34,1.17,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,26,22.11,Industrials,Engineering & Construction,3880000000.0,N/A,-22.57,1.14,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,27,21.78,Industrials,Engineering & Construction,3820000000.0,N/A,-18.91,1.12,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,28,21.78,Industrials,Engineering & Construction,3820000000.0,N/A,-18.91,1.12,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,1,29,21.17,Industrials,Engineering & Construction,3720000000.0,N/A,-18.91,1.09,0.0038,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,1,22.12,Industrials,Engineering & Construction,3880000000.0,N/A,-18.91,1.14,0.0038,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,2,22.47,Industrials,Engineering & Construction,3940000000.0,N/A,-18.91,1.16,0.0038,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,3,22.5,Industrials,Engineering & Construction,3950000000.0,N/A,-24.99,1.16,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,4,22.56,Industrials,Engineering & Construction,3960000000.0,N/A,-18.91,1.16,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,5,22.67,Industrials,Engineering & Construction,3980000000.0,N/A,-18.91,1.17,0.0036,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,8,22.79,Industrials,Engineering & Construction,4000000000.0,N/A,-18.91,1.18,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,9,25.31,Industrials,Engineering & Construction,4440000000.0,N/A,-18.91,1.31,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,9,25.31,Industrials,Engineering & Construction,4440000000.0,N/A,-18.91,1.31,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,10,25.61,Industrials,Engineering & Construction,4500000000.0,N/A,-18.91,1.32,0.0034999999999999996,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,11,26.4,Industrials,Engineering & Construction,4630000000.0,N/A,-18.91,1.36,0.0032,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,12,26.73,Industrials,Engineering & Construction,4690000000.0,N/A,-18.91,1.38,0.003,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,16,27.26,Industrials,Engineering & Construction,4790000000.0,N/A,-18.91,1.41,0.003,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,17,27.25,Industrials,Engineering & Construction,4780000000.0,N/A,-18.91,1.41,0.003,N/A,N/A
SNC-Lavalin Group Inc.,SNC,2021,2,18,26.94,Industrials,Engineering & Construction,4730000000.0,N/A,-18.91,1.39,0.0029,N/A,N/A
