Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Steppe Gold Ltd.,STGO,2021,1,6,2.55,Basic Materials,Gold,175530000.0,N/A,N/A,4.56,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,7,2.55,Basic Materials,Gold,175530000.0,N/A,N/A,4.56,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,8,2.29,Basic Materials,Gold,157640000.0,N/A,N/A,4.1,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,11,2.37,Basic Materials,Gold,163140000.0,N/A,N/A,4.24,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,12,2.33,Basic Materials,Gold,160390000.0,N/A,N/A,4.17,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,13,2.5,Basic Materials,Gold,172090000.0,N/A,N/A,4.47,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,14,2.47,Basic Materials,Gold,170030000.0,N/A,N/A,4.42,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,15,2.4,Basic Materials,Gold,165210000.0,N/A,N/A,4.29,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,18,2.32,Basic Materials,Gold,159700000.0,N/A,N/A,4.15,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,19,2.33,Basic Materials,Gold,160390000.0,N/A,N/A,4.17,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,20,2.46,Basic Materials,Gold,169340000.0,N/A,N/A,4.4,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,21,2.39,Basic Materials,Gold,164520000.0,N/A,N/A,4.28,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,22,2.28,Basic Materials,Gold,156950000.0,N/A,N/A,4.08,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,25,2.31,Basic Materials,Gold,159010000.0,N/A,N/A,4.13,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,26,2.31,Basic Materials,Gold,159010000.0,N/A,N/A,4.13,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,27,2.26,Basic Materials,Gold,155570000.0,N/A,N/A,4.04,N/A,0.0,N/A
Steppe Gold Ltd.,STGO,2021,1,28,2.27,Basic Materials,Gold,156260000.0,N/A,N/A,4.06,N/A,0.0,N/A
