Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Suncor Energy Inc.,SU,2021,1,6,23.54,Energy,Oil & Gas Integrated,35900000000.0,N/A,0.75,0.99,0.0393,N/A,N/A
Suncor Energy Inc.,SU,2021,1,7,23.78,Energy,Oil & Gas Integrated,36270000000.0,N/A,0.94,1.0,0.035699999999999996,N/A,N/A
Suncor Energy Inc.,SU,2021,1,8,23.49,Energy,Oil & Gas Integrated,35830000000.0,N/A,0.95,0.99,0.035699999999999996,N/A,N/A
Suncor Energy Inc.,SU,2021,1,11,23.4,Energy,Oil & Gas Integrated,35690000000.0,N/A,0.95,0.98,0.0353,N/A,N/A
Suncor Energy Inc.,SU,2021,1,12,23.97,Energy,Oil & Gas Integrated,36560000000.0,N/A,0.94,1.01,0.0353,N/A,N/A
Suncor Energy Inc.,SU,2021,1,13,23.54,Energy,Oil & Gas Integrated,35900000000.0,N/A,0.94,0.99,0.0359,N/A,N/A
Suncor Energy Inc.,SU,2021,1,14,24.54,Energy,Oil & Gas Integrated,37430000000.0,N/A,0.95,1.03,0.035699999999999996,N/A,N/A
Suncor Energy Inc.,SU,2021,1,15,23.36,Energy,Oil & Gas Integrated,35630000000.0,N/A,0.98,0.98,0.035699999999999996,N/A,N/A
Suncor Energy Inc.,SU,2021,1,18,22.83,Energy,Oil & Gas Integrated,34820000000.0,N/A,0.92,0.96,0.0342,N/A,N/A
Suncor Energy Inc.,SU,2021,1,19,23.24,Energy,Oil & Gas Integrated,35440000000.0,N/A,0.92,0.98,0.0342,N/A,N/A
Suncor Energy Inc.,SU,2021,1,20,23.04,Energy,Oil & Gas Integrated,35140000000.0,N/A,0.92,0.97,0.0368,N/A,N/A
Suncor Energy Inc.,SU,2021,1,21,22.94,Energy,Oil & Gas Integrated,34990000000.0,N/A,0.91,0.96,0.0365,N/A,N/A
Suncor Energy Inc.,SU,2021,1,22,22.53,Energy,Oil & Gas Integrated,34360000000.0,N/A,1.05,0.95,0.0365,N/A,N/A
Suncor Energy Inc.,SU,2021,1,25,22.33,Energy,Oil & Gas Integrated,34060000000.000004,N/A,1.04,0.94,0.0366,N/A,N/A
Suncor Energy Inc.,SU,2021,1,26,21.81,Energy,Oil & Gas Integrated,33259999999.999996,N/A,1.01,0.92,0.037599999999999995,N/A,N/A
Suncor Energy Inc.,SU,2021,1,27,21.93,Energy,Oil & Gas Integrated,33450000000.000004,N/A,1.01,0.92,0.0383,N/A,N/A
Suncor Energy Inc.,SU,2021,1,28,21.98,Energy,Oil & Gas Integrated,33520000000.000004,N/A,1.01,0.92,0.0383,N/A,N/A
Suncor Energy Inc.,SU,2021,1,29,21.39,Energy,Oil & Gas Integrated,32619999999.999996,N/A,1.07,0.9,0.0382,N/A,N/A
Suncor Energy Inc.,SU,2021,2,1,21.56,Energy,Oil & Gas Integrated,32880000000.000004,N/A,1.08,0.9,0.039,N/A,N/A
