Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Transcontinental Inc.,TCL-A,2021,1,6,20.92,Industrials,Specialty Business Services,1810000000,13.85,-2.83,1.05,0.0429,0.5927,13.94428996
Transcontinental Inc.,TCL-A,2021,1,7,21.29,Industrials,Specialty Business Services,1860000000,14.1,-2.83,1.07,0.043,0.5927,14.46500479
Transcontinental Inc.,TCL-A,2021,1,8,21.42,Industrials,Specialty Business Services,1860000000,14.19,-2.94,1.08,0.0423,0.5927,14.70325242
Transcontinental Inc.,TCL-A,2021,1,11,21.26,Industrials,Specialty Business Services,1850000000,14.08,-2.94,1.07,0.042,0.5927,14.45834933
Transcontinental Inc.,TCL-A,2021,1,12,1.92,Industrials,Specialty Business Services,1840000000,14.01,-2.94,1.06,0.0423,0.5927,14.24791327
Transcontinental Inc.,TCL-A,2021,1,13,21.67,Industrials,Specialty Business Services,1880000000.0,14.35,-2.94,1.09,0.0425,0.5927,15.003836930455636
Transcontinental Inc.,TCL-A,2021,1,14,21.6,Industrials,Specialty Business Services,1870000000.0,14.3,-2.94,1.08,0.0415,0.5927,14.828612578012484
Transcontinental Inc.,TCL-A,2021,1,15,21.67,Industrials,Specialty Business Services,1890000000.0,14.35,-2.94,1.09,0.0417,0.5927,15.015359508495727
Transcontinental Inc.,TCL-A,2021,1,18,21.32,Industrials,Specialty Business Services,1850000000.0,14.12,-3.0,1.07,0.0415,0.5927,14.506385021603455
Transcontinental Inc.,TCL-A,2021,1,19,21.14,Industrials,Specialty Business Services,1840000000.0,14.0,-3.0,1.06,0.042199999999999994,0.5927,14.23910957589714
Transcontinental Inc.,TCL-A,2021,1,20,20.86,Industrials,Specialty Business Services,1820000000.0,13.81,-2.93,1.05,0.0426,0.5927,13.908018415499713
Transcontinental Inc.,TCL-A,2021,1,21,20.83,Industrials,Specialty Business Services,1810000000.0,13.79,-2.89,1.05,0.0431,0.5927,13.881219442047744
Transcontinental Inc.,TCL-A,2021,1,22,20.85,Industrials,Specialty Business Services,1820000000.0,13.81,-2.89,1.05,0.0432,0.5927,13.900019171779142
Transcontinental Inc.,TCL-A,2021,1,25,20.87,Industrials,Specialty Business Services,1820000000.0,13.82,-2.89,1.05,0.0432,0.5927,13.910084355828223
Transcontinental Inc.,TCL-A,2021,1,26,21.2,Industrials,Specialty Business Services,1850000000.0,14.04,-2.89,1.06,0.0431,0.5927,14.267471958584988
Transcontinental Inc.,TCL-A,2021,1,27,21.0,Industrials,Specialty Business Services,1830000000.0,13.91,-2.89,1.05,0.0425,0.5927,14.010071942446045
Transcontinental Inc.,TCL-A,2021,1,28,20.81,Industrials,Specialty Business Services,1820000000.0,13.78,-2.89,1.04,0.0429,0.5927,13.74168184869115
Transcontinental Inc.,TCL-A,2021,1,29,20.52,Industrials,Specialty Business Services,1790000000.0,13.59,-2.89,1.03,0.043899999999999995,0.5927,13.409043011782737
Transcontinental Inc.,TCL-A,2021,2,1,21.32,Industrials,Specialty Business Services,1860000000.0,14.12,-2.89,1.07,0.043899999999999995,0.5927,14.473033815499567
Transcontinental Inc.,TCL-A,2021,2,2,21.42,Industrials,Specialty Business Services,1850000000.0,14.19,-2.89,1.08,0.042199999999999994,0.5927,14.704663212435234
Transcontinental Inc.,TCL-A,2021,2,3,21.07,Industrials,Specialty Business Services,1830000000.0,13.95,-2.89,1.06,0.042,0.5927,14.190978886756238
Transcontinental Inc.,TCL-A,2021,2,4,21.29,Industrials,Specialty Business Services,1860000000.0,14.1,-2.89,1.07,0.042,0.5927,14.478886756238003
Transcontinental Inc.,TCL-A,2021,2,5,21.6,Industrials,Specialty Business Services,1880000000.0,14.3,-2.89,1.08,0.042300000000000004,0.5927,14.817231123476928
Transcontinental Inc.,TCL-A,2021,2,8,21.76,Industrials,Specialty Business Services,1900000000.0,14.41,-2.89,1.09,0.0417,0.5927,15.078141499472016
Transcontinental Inc.,TCL-A,2021,2,9,21.92,Industrials,Specialty Business Services,1910000000.0,14.52,-2.89,1.1,0.0414,0.5927,15.337046283848665
Transcontinental Inc.,TCL-A,2021,2,9,21.92,Industrials,Specialty Business Services,1910000000.0,14.52,-2.89,1.1,0.0414,0.5927,15.337046283848665
Transcontinental Inc.,TCL-A,2021,2,10,21.7,Industrials,Specialty Business Services,1890000000.0,14.37,-2.89,1.09,0.041100000000000005,0.5927,15.04495245413505
Transcontinental Inc.,TCL-A,2021,2,11,21.6,Industrials,Specialty Business Services,1880000000.0,14.3,-2.89,1.08,0.0415,0.5927,14.828612578012484
Transcontinental Inc.,TCL-A,2021,2,12,21.5,Industrials,Specialty Business Services,1870000000.0,14.24,-2.89,1.08,0.0417,0.5927,14.763559566093885
Transcontinental Inc.,TCL-A,2021,2,16,21.58,Industrials,Specialty Business Services,1880000000.0,14.29,-2.89,1.08,0.04190000000000001,0.5927,14.812553987906707
Transcontinental Inc.,TCL-A,2021,2,17,21.42,Industrials,Specialty Business Services,1860000000.0,14.19,-2.89,1.08,0.0417,0.5927,14.711721224920803
Transcontinental Inc.,TCL-A,2021,2,18,21.37,Industrials,Specialty Business Services,1860000000.0,14.15,-2.89,1.07,0.042,0.5927,14.530230326295586
