Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Top 10 Canadian Financial Trust,TCT-UN,2021,1,6,7.77,N/A,N/A,10050000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,6,7.77,N/A,N/A,10050000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,8,7.75,N/A,N/A,10020000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,8,7.75,N/A,N/A,10020000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,8,7.75,N/A,N/A,10020000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,8,7.75,N/A,N/A,10020000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,8,7.75,N/A,N/A,10020000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,15,7.8,N/A,N/A,10090000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,15,7.8,N/A,N/A,10090000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,15,7.8,N/A,N/A,10090000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,20,7.95,N/A,N/A,10280000.0,N/A,N/A,1.18,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,21,7.85,N/A,N/A,10150000.0,N/A,N/A,1.16,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,21,7.85,N/A,N/A,10150000.0,N/A,N/A,1.16,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,21,7.85,N/A,N/A,10150000.0,N/A,N/A,1.16,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,26,7.7,N/A,N/A,9960000.0,N/A,N/A,1.14,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,27,7.64,N/A,N/A,9880000.0,N/A,N/A,1.13,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,27,7.64,N/A,N/A,9880000.0,N/A,N/A,1.13,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,1,27,7.64,N/A,N/A,9880000.0,N/A,N/A,1.13,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,1,7.63,N/A,N/A,9870000.0,N/A,N/A,1.13,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,2,7.52,N/A,N/A,9720000.0,N/A,N/A,1.11,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,3,7.77,N/A,N/A,10050000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,4,7.79,N/A,N/A,10070000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,5,7.93,N/A,N/A,10250000.0,N/A,N/A,1.17,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,8,7.78,N/A,N/A,10060000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,9,7.68,N/A,N/A,9930000.0,N/A,N/A,1.14,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,9,7.68,N/A,N/A,9930000.0,N/A,N/A,1.14,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,10,7.9,N/A,N/A,10220000.0,N/A,N/A,1.17,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,10,7.9,N/A,N/A,10220000.0,N/A,N/A,1.17,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,12,7.78,N/A,N/A,10060000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,16,7.8,N/A,N/A,10090000.0,N/A,N/A,1.15,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,17,7.82,N/A,N/A,10110000.0,N/A,N/A,1.16,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,17,7.82,N/A,N/A,10110000.0,N/A,N/A,1.16,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,19,7.96,N/A,N/A,10290000.0,N/A,N/A,1.18,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,22,7.91,N/A,N/A,10230000.0,N/A,N/A,1.17,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,23,8.04,N/A,N/A,10400000.0,N/A,N/A,1.19,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,24,8.19,N/A,N/A,10590000.0,N/A,N/A,1.21,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,24,8.19,N/A,N/A,10590000.0,N/A,N/A,1.21,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,26,8.1,N/A,N/A,10470000.0,N/A,N/A,1.2,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,2,26,8.1,N/A,N/A,10470000.0,N/A,N/A,1.2,N/A,N/A,N/A
Top 10 Canadian Financial Trust,TCT-UN,2021,3,2,8.25,N/A,N/A,10670000.0,N/A,N/A,1.22,N/A,N/A,N/A
