Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Tourmaline Oil Corp.,TOU,2021,1,6,18.3,Energy,Oil & Gas E&P,4980000000.0,98.39,7.63,0.57,0.0304,2.5263,54.42769798136646
Tourmaline Oil Corp.,TOU,2021,1,7,18.34,Energy,Oil & Gas E&P,4990000000.0,98.6,8.13,0.57,0.0304,2.5263,54.543866459627324
Tourmaline Oil Corp.,TOU,2021,1,8,18.35,Energy,Oil & Gas E&P,5000000000.0,98.66,8.15,0.57,0.030600000000000002,2.5263,54.56646613623132
Tourmaline Oil Corp.,TOU,2021,1,11,18.57,Energy,Oil & Gas E&P,5060000000.0,99.84,8.15,0.65,0.0305,2.5263,62.975254730713246
Tourmaline Oil Corp.,TOU,2021,1,12,19.63,Energy,Oil & Gas E&P,5350000000.0,105.54,8.15,0.69,0.0302,2.5263,70.68782760629003
Tourmaline Oil Corp.,TOU,2021,1,13,20.61,Energy,Oil & Gas E&P,5610000000.0,110.81,8.15,0.72,0.0285,2.5263,77.57238697131744
Tourmaline Oil Corp.,TOU,2021,1,14,20.98,Energy,Oil & Gas E&P,5710000000.0,112.8,8.15,0.74,0.0285,2.5263,81.15896937287312
Tourmaline Oil Corp.,TOU,2021,1,15,21.05,Energy,Oil & Gas E&P,5730000000.0,113.17,9.32,0.74,0.027200000000000002,2.5263,81.52823208722741
Tourmaline Oil Corp.,TOU,2021,1,18,20.76,Energy,Oil & Gas E&P,5650000000.0,111.61,9.36,0.73,0.026699999999999998,2.5263,79.3564819324048
Tourmaline Oil Corp.,TOU,2021,1,19,21.01,Energy,Oil & Gas E&P,5720000000.0,112.96,9.36,0.74,0.027000000000000003,2.5263,81.39279454722492
Tourmaline Oil Corp.,TOU,2021,1,20,20.91,Energy,Oil & Gas E&P,5690000000.0,112.42,9.36,0.73,0.026699999999999998,2.5263,79.93240479205221
Tourmaline Oil Corp.,TOU,2021,1,21,20.25,Energy,Oil & Gas E&P,5510000000.0,108.87,8.9,0.71,0.026699999999999998,2.5263,75.28752313236585
Tourmaline Oil Corp.,TOU,2021,1,22,19.6,Energy,Oil & Gas E&P,5340000000.0,105.38,8.9,0.69,0.0268,2.5263,70.81437475652513
Tourmaline Oil Corp.,TOU,2021,1,25,20.02,Energy,Oil & Gas E&P,5450000000.0,107.63,8.9,0.7,0.0277,2.5263,73.31030456358859
Tourmaline Oil Corp.,TOU,2021,1,26,19.07,Energy,Oil & Gas E&P,5190000000.0,102.53,8.9,0.67,0.027999999999999997,2.5263,66.82402723735409
Tourmaline Oil Corp.,TOU,2021,1,27,18.76,Energy,Oil & Gas E&P,5110000000.0,100.86,9.09,0.66,0.0294,2.5263,64.66640761608703
Tourmaline Oil Corp.,TOU,2021,1,28,18.53,Energy,Oil & Gas E&P,5050000000.0,99.62,9.09,0.65,0.0294,2.5263,62.903633184379245
Tourmaline Oil Corp.,TOU,2021,1,29,18.22,Energy,Oil & Gas E&P,4960000000.0,97.96,9.09,0.64,0.0302,2.5263,60.85653271209473
Tourmaline Oil Corp.,TOU,2021,2,1,19.81,Energy,Oil & Gas E&P,5390000000.0,106.51,9.09,0.7,0.0302,2.5263,72.37138419724326
Tourmaline Oil Corp.,TOU,2021,2,2,19.75,Energy,Oil & Gas E&P,5380000000.0,106.18,9.09,0.69,0.028300000000000002,2.5263,71.24788485850434
