Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
TWC Enterprises Limited,TWC,2021,1,6,15.8,Consumer Cyclical,Leisure,401760000.0,N/A,N/A,0.97,0.005,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,7,16.68,Consumer Cyclical,Leisure,424140000.0,N/A,N/A,1.03,0.0051,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,8,16.7,Consumer Cyclical,Leisure,424640000.0,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,11,16.5,Consumer Cyclical,Leisure,419560000.0,N/A,N/A,1.02,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,12,16.8,Consumer Cyclical,Leisure,427190000.0,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,13,16.85,Consumer Cyclical,Leisure,428460000.0,N/A,N/A,1.04,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,14,16.8,Consumer Cyclical,Leisure,427190000.0,N/A,N/A,1.03,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,15,16.8,Consumer Cyclical,Leisure,427190000.0,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,18,16.79,Consumer Cyclical,Leisure,426930000.0,N/A,N/A,1.03,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,19,16.9,Consumer Cyclical,Leisure,429730000.0,N/A,N/A,1.04,0.0048,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,20,16.99,Consumer Cyclical,Leisure,432020000.0,N/A,N/A,1.05,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,21,17.5,Consumer Cyclical,Leisure,444990000.0,N/A,N/A,1.08,0.004699999999999999,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,22,17.75,Consumer Cyclical,Leisure,451340000.0,N/A,N/A,1.09,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,25,17.4,Consumer Cyclical,Leisure,442440000.0,N/A,N/A,1.07,0.0046,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,26,17.75,Consumer Cyclical,Leisure,451340000.0,N/A,N/A,1.09,0.0045000000000000005,N/A,N/A
TWC Enterprises Limited,TWC,2021,1,27,17.75,Consumer Cyclical,Leisure,451340000.0,N/A,N/A,1.09,0.0045000000000000005,N/A,N/A
