Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Top 10 Split Trust,TXT-UN,2021,1,6,1.88,Financial Services,Asset Management,1940000.0,N/A,N/A,0.5,0.1047,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,7,1.94,Financial Services,Asset Management,2000000.0,N/A,N/A,0.52,0.08410000000000001,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,7,1.94,Financial Services,Asset Management,2000000.0,N/A,N/A,0.52,0.08410000000000001,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,11,1.95,Financial Services,Asset Management,2009999.9999999998,N/A,N/A,0.52,0.0815,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,12,1.91,Financial Services,Asset Management,1970000.0,N/A,N/A,0.51,0.0815,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,13,1.81,Financial Services,Asset Management,1870000.0,N/A,N/A,0.48,0.0815,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,13,1.81,Financial Services,Asset Management,1870000.0,N/A,N/A,0.48,0.0828,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,15,1.9,Financial Services,Asset Management,1960000.0,N/A,N/A,0.51,0.0828,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,18,2.09,Financial Services,Asset Management,2160000.0,N/A,N/A,0.56,0.0873,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,19,2.1,Financial Services,Asset Management,2170000.0,N/A,N/A,0.56,0.0873,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,19,2.1,Financial Services,Asset Management,2170000.0,N/A,N/A,0.56,0.0756,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,19,2.1,Financial Services,Asset Management,2170000.0,N/A,N/A,0.56,0.0753,N/A,N/A
Top 10 Split Trust,TXT-UN,2021,1,19,2.1,Financial Services,Asset Management,2170000.0,N/A,N/A,0.56,0.0753,N/A,N/A
