Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Uranium Participation Corporation,U,2021,1,6,4.88,Energy,Uranium,661520000.0,6.4,N/A,0.95,N/A,0.0,6.08
Uranium Participation Corporation,U,2021,1,7,4.79,Energy,Uranium,649320000.0,6.29,N/A,0.93,N/A,0.0,5.8497
Uranium Participation Corporation,U,2021,1,8,4.65,Energy,Uranium,630340000.0,6.1,N/A,0.9,N/A,0.0,5.49
Uranium Participation Corporation,U,2021,1,11,4.68,Energy,Uranium,634410000.0,6.14,N/A,0.91,N/A,0.0,5.5874
Uranium Participation Corporation,U,2021,1,12,4.57,Energy,Uranium,619500000.0,6.0,N/A,0.89,N/A,0.0,5.34
Uranium Participation Corporation,U,2021,1,13,4.52,Energy,Uranium,609930000.0,5.93,N/A,0.88,N/A,0.0,5.2184
Uranium Participation Corporation,U,2021,1,14,4.54,Energy,Uranium,612630000.0,5.96,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,1,15,4.42,Energy,Uranium,596430000.0,10.6,N/A,0.9,N/A,0.0,9.54
Uranium Participation Corporation,U,2021,1,18,4.47,Energy,Uranium,603180000.0,10.67,N/A,0.91,N/A,0.0,9.7097
Uranium Participation Corporation,U,2021,1,19,4.39,Energy,Uranium,592390000.0,10.48,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,1,20,4.39,Energy,Uranium,592390000.0,10.48,N/A,0.89,N/A,0.0,9.327200000000001
Uranium Participation Corporation,U,2021,1,21,4.32,Energy,Uranium,582940000.0,10.31,N/A,0.88,N/A,0.0,9.0728
Uranium Participation Corporation,U,2021,1,22,4.29,Energy,Uranium,578890000.0,10.24,N/A,0.87,N/A,0.0,8.9088
Uranium Participation Corporation,U,2021,1,25,4.6,Energy,Uranium,620720000.0,10.98,N/A,0.93,N/A,0.0,10.211400000000001
Uranium Participation Corporation,U,2021,1,26,4.54,Energy,Uranium,612630000.0,10.84,N/A,0.92,N/A,0.0,9.9728
Uranium Participation Corporation,U,2021,1,27,4.38,Energy,Uranium,591040000.0,10.45,N/A,0.89,N/A,0.0,9.3005
Uranium Participation Corporation,U,2021,1,28,4.35,Energy,Uranium,586990000.0,10.38,N/A,0.88,N/A,0.0,9.134400000000001
Uranium Participation Corporation,U,2021,1,29,4.4,Energy,Uranium,593740000.0,10.5,N/A,0.89,N/A,0.0,9.345
Uranium Participation Corporation,U,2021,2,1,4.78,Energy,Uranium,645010000.0,11.41,N/A,0.97,N/A,0.0,11.0677
Uranium Participation Corporation,U,2021,2,2,4.64,Energy,Uranium,626120000.0,11.07,N/A,0.94,N/A,0.0,10.4058
Uranium Participation Corporation,U,2021,2,3,4.77,Energy,Uranium,643660000.0,11.38,N/A,0.97,N/A,0.0,11.0386
Uranium Participation Corporation,U,2021,2,4,4.64,Energy,Uranium,626120000.0,11.07,N/A,0.94,N/A,0.0,10.4058
Uranium Participation Corporation,U,2021,2,5,4.71,Energy,Uranium,635570000.0,11.24,N/A,0.95,N/A,0.0,10.677999999999999
Uranium Participation Corporation,U,2021,2,8,4.78,Energy,Uranium,645010000.0,11.41,N/A,0.97,N/A,0.0,11.0677
Uranium Participation Corporation,U,2021,2,9,4.88,Energy,Uranium,658510000.0,11.65,N/A,0.99,N/A,0.0,11.5335
Uranium Participation Corporation,U,2021,2,9,4.88,Energy,Uranium,658510000.0,11.65,N/A,0.99,N/A,0.0,11.5335
Uranium Participation Corporation,U,2021,2,10,4.82,Energy,Uranium,650410000.0,11.5,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,11,4.93,Energy,Uranium,665250000.0,11.77,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,12,4.93,Energy,Uranium,665250000.0,11.77,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,16,5.22,Energy,Uranium,704390000.0,12.46,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,17,5.15,Energy,Uranium,694940000.0,12.29,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,18,5.02,Energy,Uranium,677400000.0,11.98,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,19,5.04,Energy,Uranium,680100000.0,12.03,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,22,5.17,Energy,Uranium,697640000.0,12.34,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,23,5.12,Energy,Uranium,690890000.0,12.22,N/A,N/A,N/A,N/A,N/A
Uranium Participation Corporation,U,2021,2,24,5.12,Energy,Uranium,690890000.0,12.22,N/A,N/A,N/A,N/A,N/A
