Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Vista Gold Corp.,VGZ,2021,1,6,1.5,Basic Materials,Gold,153590000.0,107.14,N/A,8.88,N/A,0.0,951.4032000000001
Vista Gold Corp.,VGZ,2021,1,7,1.49,Basic Materials,Gold,153860000.0,106.43,N/A,8.82,N/A,0.0,938.7126000000001
Vista Gold Corp.,VGZ,2021,1,8,1.37,Basic Materials,Gold,141150000.0,97.86,N/A,8.11,N/A,0.0,793.6446
Vista Gold Corp.,VGZ,2021,1,11,1.41,Basic Materials,Gold,143470000.0,100.71,N/A,8.34,N/A,0.0,839.9214
Vista Gold Corp.,VGZ,2021,1,12,1.43,Basic Materials,Gold,146530000.0,102.14,N/A,8.46,N/A,0.0,864.1044
Vista Gold Corp.,VGZ,2021,1,13,1.34,Basic Materials,Gold,138920000.0,95.71,N/A,7.93,N/A,0.0,758.9802999999999
Vista Gold Corp.,VGZ,2021,1,14,1.31,Basic Materials,Gold,135240000.0,93.57,N/A,7.75,N/A,0.0,725.1674999999999
Vista Gold Corp.,VGZ,2021,1,15,1.24,Basic Materials,Gold,128370000.0,88.57,N/A,7.34,N/A,0.0,650.1038
Vista Gold Corp.,VGZ,2021,1,18,1.25,Basic Materials,Gold,129620000.0,89.29,N/A,7.4,N/A,0.0,660.7460000000001
Vista Gold Corp.,VGZ,2021,1,19,1.22,Basic Materials,Gold,128000000.0,87.14,N/A,7.22,N/A,0.0,629.1508
Vista Gold Corp.,VGZ,2021,1,20,1.15,Basic Materials,Gold,118720000.0,82.14,N/A,6.8,N/A,0.0,558.552
Vista Gold Corp.,VGZ,2021,1,21,1.26,Basic Materials,Gold,131560000.0,90.0,N/A,7.46,N/A,0.0,671.4
Vista Gold Corp.,VGZ,2021,1,22,1.18,Basic Materials,Gold,120220000.0,84.29,N/A,6.98,N/A,0.0,588.3442000000001
Vista Gold Corp.,VGZ,2021,1,25,1.2,Basic Materials,Gold,122850000.0,85.71,N/A,7.1,N/A,0.0,608.5409999999999
Vista Gold Corp.,VGZ,2021,1,26,1.21,Basic Materials,Gold,123290000.0,86.43,N/A,7.16,N/A,0.0,618.8388000000001
Vista Gold Corp.,VGZ,2021,1,27,1.13,Basic Materials,Gold,117690000.0,80.71,N/A,6.69,N/A,0.0,539.9499
Vista Gold Corp.,VGZ,2021,1,28,1.16,Basic Materials,Gold,120440000.0,82.86,N/A,6.86,N/A,0.0,568.4196000000001
Vista Gold Corp.,VGZ,2021,1,29,1.22,Basic Materials,Gold,129130000.0,87.14,N/A,7.22,N/A,0.0,629.1508
Vista Gold Corp.,VGZ,2021,2,1,1.32,Basic Materials,Gold,139710000.0,94.29,N/A,7.81,N/A,0.0,736.4049
