Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
WELL Health Technologies Corp.,WELL,2021,1,6,7.61,Healthcare,Health Information Services,1230000000.0,N/A,-4.02,12.81,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,7,7.71,Healthcare,Health Information Services,1250000000.0,N/A,-3.85,12.98,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,8,7.64,Healthcare,Health Information Services,1240000000.0,N/A,-3.85,12.86,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,11,7.56,Healthcare,Health Information Services,1230000000.0,N/A,-3.82,12.73,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,12,7.52,Healthcare,Health Information Services,1220000000.0,N/A,-3.82,12.66,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,13,7.69,Healthcare,Health Information Services,1250000000.0,N/A,-3.82,12.95,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,14,7.79,Healthcare,Health Information Services,1260000000.0,N/A,-3.82,13.11,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,15,7.62,Healthcare,Health Information Services,1240000000.0,N/A,-3.89,12.83,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,18,7.78,Healthcare,Health Information Services,1260000000.0,N/A,-3.81,13.1,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,19,7.99,Healthcare,Health Information Services,1300000000.0,N/A,-3.81,13.45,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,20,8.19,Healthcare,Health Information Services,1330000000.0,N/A,-3.81,13.79,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,21,7.97,Healthcare,Health Information Services,1290000000.0,N/A,-3.81,13.42,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,22,7.93,Healthcare,Health Information Services,1290000000.0,N/A,-3.81,13.35,N/A,0.0,N/A
WELL Health Technologies Corp.,WELL,2021,1,25,8.01,Healthcare,Health Information Services,1300000000.0,N/A,-3.81,13.48,N/A,0.0,N/A
