Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Western Energy Services Corp.,WRG,2021,1,6,0.47,Energy,Oil & Gas Drilling,42850000.0,N/A,0.08,0.18,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,7,0.47,Energy,Oil & Gas Drilling,42850000.0,N/A,0.08,0.18,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,8,0.47,Energy,Oil & Gas Drilling,42850000.0,N/A,0.08,0.18,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,11,0.45,Energy,Oil & Gas Drilling,41020000.0,N/A,0.08,0.18,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,12,0.48,Energy,Oil & Gas Drilling,43760000.0,N/A,0.08,0.19,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,13,0.45,Energy,Oil & Gas Drilling,41020000.0,N/A,0.08,0.18,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,14,0.44,Energy,Oil & Gas Drilling,40110000.0,N/A,0.08,0.17,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,14,0.44,Energy,Oil & Gas Drilling,40110000.0,N/A,0.07,0.17,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,18,0.44,Energy,Oil & Gas Drilling,40110000.0,N/A,0.07,0.17,N/A,0.0,N/A
Western Energy Services Corp.,WRG,2021,1,19,0.435,Energy,Oil & Gas Drilling,39660000.0,N/A,0.07,0.17,N/A,0.0,N/A
