Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Xanadu Mines Limited,XAM,2020,12,30,0.035,Basic Materials,Other Precious Metals & Mining,32350000.0,N/A,N/A,0.64,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,7,0.04,Basic Materials,Other Precious Metals & Mining,37110000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,7,0.04,Basic Materials,Other Precious Metals & Mining,34320000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,7,0.04,Basic Materials,Other Precious Metals & Mining,33350000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,12,0.04,Basic Materials,Other Precious Metals & Mining,33240000.000000004,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,13,0.04,Basic Materials,Other Precious Metals & Mining,33200000.000000004,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,14,0.035,Basic Materials,Other Precious Metals & Mining,28530000.0,N/A,N/A,0.64,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,15,0.035,Basic Materials,Other Precious Metals & Mining,32460000.0,N/A,N/A,0.64,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,15,0.035,Basic Materials,Other Precious Metals & Mining,32460000.0,N/A,N/A,0.64,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,15,0.035,Basic Materials,Other Precious Metals & Mining,31920000.0,N/A,N/A,0.64,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,20,0.04,Basic Materials,Other Precious Metals & Mining,36040000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,20,0.04,Basic Materials,Other Precious Metals & Mining,29150000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,20,0.04,Basic Materials,Other Precious Metals & Mining,29090000.0,N/A,N/A,0.73,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,25,0.045,Basic Materials,Other Precious Metals & Mining,33710000.0,N/A,N/A,0.82,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,25,0.045,Basic Materials,Other Precious Metals & Mining,31590000.0,N/A,N/A,0.82,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,27,0.045,Basic Materials,Other Precious Metals & Mining,31630000.0,N/A,N/A,0.82,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,28,0.045,Basic Materials,Other Precious Metals & Mining,29340000.0,N/A,N/A,0.82,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,1,29,0.045,Basic Materials,Other Precious Metals & Mining,30050000.0,N/A,N/A,0.82,N/A,0.0,N/A
