Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Exco Technologies Limited,XTC,2021,1,6,9.53,Consumer Cyclical,Auto Parts,374230000.0,13.87,N/A,1.13,0.0406,0.5435,15.061599077455313
Exco Technologies Limited,XTC,2021,1,7,9.42,Consumer Cyclical,Auto Parts,369910000.0,13.71,N/A,1.12,0.039900000000000005,0.5435,14.766035195691895
Exco Technologies Limited,XTC,2021,1,8,9.57,Consumer Cyclical,Auto Parts,375800000.0,13.93,N/A,1.14,0.0403,0.5435,15.26501970585408
Exco Technologies Limited,XTC,2021,1,11,9.5,Consumer Cyclical,Auto Parts,373060000.0,13.83,N/A,1.13,0.0397,0.5435,15.031162835433296
Exco Technologies Limited,XTC,2021,1,12,9.62,Consumer Cyclical,Auto Parts,377770000.0,14.0,N/A,1.14,0.04,0.5435,15.346153846153845
Exco Technologies Limited,XTC,2021,1,13,9.52,Consumer Cyclical,Auto Parts,373840000.0,13.86,N/A,1.13,0.0395,0.5435,15.066666666666663
Exco Technologies Limited,XTC,2021,1,14,9.5,Consumer Cyclical,Auto Parts,373060000.0,13.83,N/A,1.13,0.039900000000000005,0.5435,15.028271949225886
Exco Technologies Limited,XTC,2021,1,15,9.4,Consumer Cyclical,Auto Parts,369130000.0,13.68,N/A,1.12,0.04,0.5435,14.732307692307694
Exco Technologies Limited,XTC,2021,1,18,9.41,Consumer Cyclical,Auto Parts,369520000.0,13.7,N/A,1.12,0.0404,0.5435,14.74817377931565
Exco Technologies Limited,XTC,2021,1,19,9.38,Consumer Cyclical,Auto Parts,368340000.0,13.65,N/A,1.11,0.0404,0.5435,14.563148788927338
Exco Technologies Limited,XTC,2021,1,20,9.22,Consumer Cyclical,Auto Parts,362060000.0,13.42,N/A,1.09,0.0405,0.5435,14.058433445458915
Exco Technologies Limited,XTC,2021,1,21,9.29,Consumer Cyclical,Auto Parts,364810000.0,13.52,N/A,1.1,0.0412,0.5435,14.283519016519401
Exco Technologies Limited,XTC,2021,1,22,9.57,Consumer Cyclical,Auto Parts,375800000.0,13.93,N/A,1.14,0.0409,0.5435,15.256220578345662
Exco Technologies Limited,XTC,2021,1,25,9.61,Consumer Cyclical,Auto Parts,377380000.0,13.99,N/A,1.14,0.0397,0.5435,15.33961719726844
Exco Technologies Limited,XTC,2021,1,26,9.71,Consumer Cyclical,Auto Parts,381300000.0,14.13,N/A,1.15,0.0395,0.5435,15.632034632034632
Exco Technologies Limited,XTC,2021,1,27,9.74,Consumer Cyclical,Auto Parts,382480000.0,14.18,N/A,1.16,0.0391,0.5435,15.829852757193725
