Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Zenabis Global Inc.,ZENA,2021,1,6,0.07,Healthcare,Drug Manufacturers—Specialty & Generic,53340000.0,N/A,N/A,0.5,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,7,0.07,Healthcare,Drug Manufacturers—Specialty & Generic,53340000.0,N/A,N/A,0.5,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,8,0.07,Healthcare,Drug Manufacturers—Specialty & Generic,53340000.0,N/A,N/A,0.5,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,11,0.075,Healthcare,Drug Manufacturers—Specialty & Generic,57150000.0,N/A,N/A,0.54,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,12,0.075,Healthcare,Drug Manufacturers—Specialty & Generic,57150000.0,N/A,N/A,0.54,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,13,0.07,Healthcare,Drug Manufacturers—Specialty & Generic,53340000.0,N/A,N/A,0.5,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,14,0.075,Healthcare,Drug Manufacturers—Specialty & Generic,57150000.0,N/A,N/A,0.54,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,15,0.085,Healthcare,Drug Manufacturers—Specialty & Generic,64769999.99999999,N/A,N/A,0.61,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,18,0.11,Healthcare,Drug Manufacturers—Specialty & Generic,83830000.0,N/A,N/A,0.79,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,19,0.11,Healthcare,Drug Manufacturers—Specialty & Generic,83830000.0,N/A,N/A,0.79,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,20,0.1,Healthcare,Drug Manufacturers—Specialty & Generic,76200000.0,N/A,N/A,0.72,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,21,0.1,Healthcare,Drug Manufacturers—Specialty & Generic,76200000.0,N/A,N/A,0.72,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,1,22,0.12,Healthcare,Drug Manufacturers—Specialty & Generic,91450000.0,N/A,N/A,0.86,N/A,0.0,N/A
