Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Lucara Diamond Corp.,LUC,2021,3,2,0.76,Basic Materials,Other Precious Metals & Mining,301640000.0,N/A,-1.8,1.45,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,3,2,0.19,Industrials,Engineering & Construction,9460000.0,N/A,N/A,0.25,N/A,0.0,N/A
Urbana Corporation,URB,2021,2,26,2.95,Financial Services,Asset Management,164840000.0,56.73,N/A,0.6,0.0305,1.6,33.03056768558952
Buhler Industries Inc.,BUI,2021,3,2,3.02,Industrials,Farm & Heavy Construction Machinery,75500000.0,N/A,N/A,0.98,N/A,0.0,N/A
Gold Standard Ventures Corp,GSV,2021,3,2,0.8,Basic Materials,Gold,285980000.0,N/A,-5.53,0.97,N/A,0.0,N/A
Endeavour Silver Corp.,EDR,2021,3,2,7.94,Basic Materials,Silver,1250000000.0,N/A,0.09,9.11,N/A,0.0,N/A
Opsens Inc.,OPS,2021,3,2,1.71,Healthcare,Medical Instruments & Supplies,181910000.0,N/A,N/A,9.66,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,3,2,0.29,Financial Services,Asset Management,660.01,N/A,N/A,N/A,N/A,0.0,N/A
Chesswood Group Limited,CHW,2021,3,2,9.06,Financial Services,Credit Services,147540000.0,N/A,N/A,1.2,0.0265,N/A,N/A
Life & Banc Split Corp.,LBS,2021,3,2,7.81,Financial Services,Asset Management,236610000.0,N/A,N/A,2.04,0.15710000000000002,N/A,N/A
Precious Metals and Mining Trust,MMP-UN,2021,3,2,2.03,Financial Services,Asset Management,34800000.0,2.21,N/A,0.86,0.0594,0.086,1.7940343590711725
Sherritt International Corporation,S,2021,3,2,0.61,Basic Materials,Other Industrial Metals & Mining,242340000.0,10.89,0.05,0.4,N/A,0.0,4.356000000000001
Ur-Energy Inc.,URE,2021,3,2,1.5,Energy,Uranium,282460000.0,N/A,-2.15,7.46,N/A,0.0,N/A
Thomson Reuters Corporation,TRI,2021,3,2,112.12,Industrials,Consulting Services,55530000000.0,49.92,2.47,5.59,0.0183,0.6609,274.03790631444565
InPlay Oil Corp.,IPO,2021,3,2,0.42,Energy,Oil & Gas E&P,28670000.0,N/A,N/A,0.59,N/A,0.0,N/A
